old_name,new_name
Camp 02E,Camp 2E
Camp 04 Extension,Camp 4 Extension
Camp 03,Camp 3
Camp 04,Camp 4
Camp 21 (Chakmarkul),Camp 21
Camp 08W,Camp 8W
Camp 09,Camp 9
Camp 25 (Ali Khali),Camp 25
Camp 24 (Leda),Camp 24
Camp 05,Camp 5
Camp 06,Camp 6
Camp 08E,Camp 8E
Camp 27 (Jadimura),Camp 27
Camp 01W,Camp 1W
Camp 26 (Nayapara),Camp 26
Camp 01E,Camp 1E
Camp 07,Camp 7
Camp 15 (Jamtoli),Camp 15
Camp 16 (Potibonia),Camp 16
Camp 02W,Camp 2W
Camp 23 (Shamlapur),Camp 23
Camp 14 (Hakimpara),Camp 14
Camp 22 (Unchiprang),Camp 22
