old_name,new_name,dataset,,
date,,Hydro-incident dataset,,
precip.GSB Cox's Bazaar-1227,rain.GSB Cox's Bazaar-1227,Hydro-incident dataset,,
precip.GSB Teknaf-1226,rain.GSB Teknaf-1226,Hydro-incident dataset,,
precip.UN Camp 16-1280,rain.UN Camp 16-1280,Hydro-incident dataset,,
precip.UN Chakmarkul-1278,rain.UN Chakmarkul-1278,Hydro-incident dataset,,
precip.UN Kuturc-1279,rain.UN Kuturc-1279,Hydro-incident dataset,,
rain_max_3_hr_interval.GSB Cox's Bazaar-1227,,Hydro-incident dataset,,
rain_max_3_hr_interval.GSB Teknaf-1226,,Hydro-incident dataset,,
rain_max_3_hr_interval.UN Camp 16-1280,,Hydro-incident dataset,,
rain_max_3_hr_interval.UN Chakmarkul-1278,,Hydro-incident dataset,,
rain_max_3_hr_interval.UN Kuturc-1279,,Hydro-incident dataset,,
rain.BMD_COX,rain.BMD Cox's Bazaar,Hydro-incident dataset,,
rain.BMD_TEK,rain.BMD Teknaf,Hydro-incident dataset,,
rain.CHIRPS,,Hydro-incident dataset,,
rain.CFRS,,Hydro-incident dataset,,
total_number_of_incident,Number_of_Incidents.Total,Hydro-incident dataset,,
Number.of.incidents_Wind-Storm,Number_of_Incidents.Wind Storm,Hydro-incident dataset,,
Number.of.incidents_Slope-failure,Number_of_Incidents.Slope Failure,Hydro-incident dataset,,
Number.of.incidents_Flood,Number_of_Incidents.Flood,Hydro-incident dataset,,
total_affected_hh,Affected_HH.Total,Hydro-incident dataset,,
Affected.HHs_Wind-Storm,Affected_HH.Wind Storm,Hydro-incident dataset,,
Affected.HHs_Slope-failure,Affected_HH.Slope Failure,Hydro-incident dataset,,
,,,,
total_affected_indv,Affected_Individual.Total,Hydro-incident dataset,,
Affected.individuals_Slope-failure,Affected_Individual.Slope Failure,Hydro-incident dataset,,
Affected.individuals_Wind-Storm,Affected_Individual.Wind Storm,Hydro-incident dataset,,
Affected.individuals_Flood,Affected_Individual.Flood,Hydro-incident dataset,,
total_displaced_indv,Displaced_Individual.Total,Hydro-incident dataset,,
Displaced.ind_Slope-failure,Displaced_Individual.Slope Failure,Hydro-incident dataset,,
Displaced.ind_Wind-Storm,Displaced_Individual.Wind Storm,Hydro-incident dataset,,
Displaced.ind_Flood,Displaced_Individual.Flood,Hydro-incident dataset,,
Damaged_waterpoint.Total,Damaged_Waterpoint.Total,Hydro-incident dataset,,
Damaged.waterpoints_Slope-failure,Damaged_Waterpoint.Slop Failure,Hydro-incident dataset,,
Damaged.waterpoints_Wind-Storm,Damaged_Waterpoint.Wind Storm,Hydro-incident dataset,,
Damaged.waterpoints_Flood,Damaged_Waterpoint.Flood,Hydro-incident dataset,,
Damaged_latrines.Total,Damaged_Latrines.Total,Hydro-incident dataset,,
Damaged.latrines_Slope-failure,Damaged_Latrines.Slop Failure,Hydro-incident dataset,,
Damaged.latrines_Wind-Storm,Damaged_Latrines.Wind Storm,Hydro-incident dataset,,
Damaged.latrines_Flood,Damaged_Latrines.Flood,Hydro-incident dataset,,
Damaged_health_facilities.Total,Damaged_Health_Facilities.Total,Hydro-incident dataset,,
Damaged.health.facilities_Slope-failure,Damaged_Health_Facilities.Slop Failure,Hydro-incident dataset,,
Damaged.health.facilities_Wind-Storm,Damaged_Health_Facilities.Wind Storm,Hydro-incident dataset,,
Damaged.health.facilities_Flood,Damaged_Health_Facilities.Flood,Hydro-incident dataset,,
Damaged_food_distribution.Total,Damaged_Food_Distribution.Total,Hydro-incident dataset,,
Damaged.food.distribution.site_Slope-failure,Damaged_Food_Distribution.Slop Failure,Hydro-incident dataset,,
Damaged.food.distribution.site_Wind-Storm,Damaged_Food_Distribution.Wind Storm,Hydro-incident dataset,,
Damaged.food.distribution.site_Flood,Damaged_Food_Distribution.Flood,Hydro-incident dataset,,
Affected.HHs_Flood,Affected_HH.Flood,Hydro-incident dataset,,
total_displaced_hh,Displaced_HH.Total,Hydro-incident dataset,,
Displaced.HH_Wind-Storm,Displaced_HH.Wind Storm,Hydro-incident dataset,,
Displaced.HH_Slope-failure,Displaced_HH.Slope Failure,Hydro-incident dataset,,
Displaced.HH_Flood,Displaced_HH.Flood,Hydro-incident dataset,,
total_partically_damaged,Partially_Damaged_Shelter.Total,Hydro-incident dataset,,
Partially.Damaged.shelters_Wind-Storm,Partially_Damaged_Shelter.Wind Storm,Hydro-incident dataset,,
Partially.Damaged.shelters_Slope-failure,Partially_Damaged_Shelter.Slope Failure,Hydro-incident dataset,,
Partially.Damaged.shelters_Flood,Partially_Damaged_Shelter.Flood,Hydro-incident dataset,,
total_fully_damaged,Totally_Damaged_Shelter.Total,Hydro-incident dataset,,
Totally.Damaged.shelters_Wind-Storm,Totally_Damaged_Shelter.Wind Storm,Hydro-incident dataset,,
Totally.Damaged.shelters_Slope-failure,Totally_Damaged_Shelter.Slope Failure,Hydro-incident dataset,,
Totally.Damaged.shelters_Flood,Totally_Damaged_Shelter.Flood,Hydro-incident dataset,,
datehour,date_time,Hourly Summary,,
precip.GSB Cox's Bazaar-1227,rain.GSB Cox's Bazaar-1227,Hourly Summary,,
precip.GSB Teknaf-1226,rain.GSB Teknaf-1226,Hourly Summary,,
precip.UN Camp 16-1280,rain.UN Camp 16-1280,Hourly Summary,,
precip.UN Chakmarkul-1278,rain.UN Chakmarkul-1278,Hourly Summary,,
precip.UN Kuturc-1279,rain.UN Kuturc-1279,Hourly Summary,,
quality.SMEP_Hub,SMEP_Hub.Quality,Hourly Summary,,
quality.MSF_8_w_Hub,MSF_8_W.Quality,Hourly Summary,,
SMEP_Hub_Temp.Out,SMEP_Hub.Temp_Out,Hourly Summary,,
SMEP_Hub.Hi_Temp,,Hourly Summary,,
SMEP_Hub.Low_Temp,,Hourly Summary,,
SMEP_Hub.Wind_Speed,,Hourly Summary,,
SMEP_Hub.Wind_Dir,,Hourly Summary,,
SMEP_Hub.Hi_Speed,,Hourly Summary,,
